Terms,co-occurrence_counts
folk - access,2
folk - ecolog,1
folk - commun,1
folk - garden,1
folk - queer,1
folk - groceri,1
folk - spot,1
folk - exemplifi,1
folk - sustain,1
", - ecolog",1
", - garden",12
", - queer",1
", - groceri",6
", - spot",5
", - exemplifi",2
", - sustain",39
groceri - commun,1
groceri - garden,1
groceri - queer,1
groceri - folk,1
"groceri - ,",6
groceri - spot,2
groceri - exemplifi,1
groceri - sustain,2
groceri - community-first,2
spot - garden,1
spot - queer,1
spot - folk,1
"spot - ,",5
spot - groceri,2
spot - exemplifi,1
spot - sustain,1
spot - community-first,1
spot - model,1
exemplifi - queer,1
exemplifi - folk,1
"exemplifi - ,",2
exemplifi - groceri,1
exemplifi - spot,1
exemplifi - sustain,1
exemplifi - community-first,1
exemplifi - model,1
exemplifi - nonprofit,1
sustain - folk,1
"sustain - ,",39
sustain - groceri,2
sustain - spot,1
sustain - exemplifi,1
sustain - community-first,1
sustain - model,1
sustain - nonprofit,1
", - community-first",1
", - model",18
", - nonprofit",1
", - store",14
community-first - groceri,2
community-first - spot,1
community-first - exemplifi,1
community-first - sustain,1
"community-first - ,",1
community-first - model,1
community-first - nonprofit,1
community-first - store,1
community-first - .,1
model - spot,1
model - exemplifi,1
model - sustain,1
"model - ,",18
model - community-first,1
model - nonprofit,1
model - groceri,1
model - store,1
model - .,12
model - mani,2
nonprofit - exemplifi,1
nonprofit - sustain,1
"nonprofit - ,",1
nonprofit - community-first,1
nonprofit - model,1
nonprofit - groceri,1
nonprofit - store,1
nonprofit - .,1
nonprofit - mani,1
nonprofit - inspir,1
groceri - model,1
groceri - nonprofit,1
groceri - store,3
groceri - .,4
groceri - mani,1
groceri - inspir,1
groceri - organ,1
"store - ,",14
store - community-first,1
store - model,1
store - nonprofit,1
store - groceri,3
store - .,14
store - mani,1
store - inspir,1
store - organ,2
store - work,1
. - community-first,1
. - model,12
. - nonprofit,1
. - groceri,4
. - store,14
. - inspir,2
. - across,11
mani - model,2
mani - nonprofit,1
mani - groceri,1
mani - store,1
mani - inspir,2
mani - across,1
mani - atlanta,3
inspir - nonprofit,1
inspir - groceri,1
inspir - store,1
inspir - .,2
inspir - mani,2
inspir - organ,1
inspir - work,2
inspir - across,1
inspir - atlanta,1
"inspir - ,",3
organ - groceri,1
organ - store,2
organ - inspir,1
organ - across,1
organ - atlanta,2
organ - hope,3
work - store,1
work - inspir,2
work - across,1
work - atlanta,1
work - hope,1
work - ’,35
across - .,11
across - mani,1
across - inspir,1
across - organ,1
across - work,1
across - atlanta,1
"across - ,",17
across - hope,1
across - ’,2
across - read,1
atlanta - mani,3
